┌────────────┬──────────┬──────────┬───────────────────────┬──────────────────────┬──────────┬──────────┬──────────────────────┬─────────────────────┐
│    date    │ min_prcp │ max_prcp │       avg_prcp        │       sum_prcp       │ min_snow │ max_snow │       avg_snow       │      sum_snow       │
│    date    │  double  │  double  │        double         │        double        │  double  │  double  │        double        │       double        │
├────────────┼──────────┼──────────┼───────────────────────┼──────────────────────┼──────────┼──────────┼──────────────────────┼─────────────────────┤
│ 2013-08-13 │      0.0 │     0.85 │    0.1285714285714286 │                  0.9 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-14 │      0.0 │     0.85 │    0.1285714285714286 │                  0.9 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-15 │      0.0 │     0.85 │    0.1285714285714286 │                  0.9 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-16 │      0.0 │     0.85 │   0.12142857142857143 │                 0.85 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-17 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-18 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-19 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-20 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-21 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-22 │      0.0 │     0.25 │   0.03571428571428571 │                 0.25 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-23 │      0.0 │     0.25 │  0.041428571428571426 │                 0.29 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-24 │      0.0 │     0.25 │   0.04285714285714286 │                  0.3 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-25 │      0.0 │     0.43 │   0.10428571428571429 │                 0.73 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-26 │      0.0 │     0.43 │   0.06857142857142857 │                 0.48 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-27 │      0.0 │     0.43 │   0.06857142857142857 │                 0.48 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-28 │      0.0 │     0.43 │   0.06857142857142857 │                 0.48 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-29 │      0.0 │     0.43 │   0.06857142857142857 │                 0.48 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-30 │      0.0 │     0.43 │   0.06999999999999999 │                 0.49 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-08-31 │      0.0 │     0.43 │   0.07285714285714286 │                 0.51 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-01 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-02 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-03 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-04 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-05 │      0.0 │     0.05 │  0.011428571428571429 │                 0.08 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-06 │      0.0 │     0.03 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-07 │      0.0 │     0.01 │ 0.0014285714285714286 │                 0.01 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-08 │      0.0 │     0.01 │ 0.0014285714285714286 │                 0.01 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-09 │      0.0 │      1.6 │                  0.23 │                 1.61 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-10 │      0.0 │      1.6 │    0.2385714285714286 │   1.6700000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-11 │      0.0 │      1.6 │    0.2385714285714286 │   1.6700000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-12 │      0.0 │      1.6 │    0.2385714285714286 │   1.6700000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-13 │      0.0 │      1.6 │   0.24285714285714288 │   1.7000000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-14 │      0.0 │      1.6 │   0.24142857142857146 │   1.6900000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-15 │      0.0 │      1.6 │   0.24142857142857146 │   1.6900000000000002 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-16 │      0.0 │     0.06 │  0.012857142857142857 │                 0.09 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-17 │      0.0 │     0.03 │  0.004285714285714286 │                 0.03 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-18 │      0.0 │     0.72 │   0.10714285714285714 │                 0.75 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-19 │      0.0 │     0.72 │   0.17142857142857143 │                  1.2 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-20 │      0.0 │     0.72 │   0.16714285714285712 │                 1.17 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-21 │      0.0 │     0.72 │   0.16714285714285712 │                 1.17 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-22 │      0.0 │     0.72 │   0.16714285714285712 │                 1.17 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-23 │      0.0 │     0.72 │   0.16714285714285712 │                 1.17 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-24 │      0.0 │     0.72 │   0.16714285714285712 │                 1.17 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-25 │      0.0 │     0.45 │    0.0642857142857143 │                 0.45 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-26 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-27 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-28 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-29 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-09-30 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
│ 2013-10-01 │      0.0 │      0.0 │                   0.0 │                  0.0 │      0.0 │      0.0 │                  0.0 │                 0.0 │
