┌────────────┬───────────────────────┐
│    date    │  moving_7d_avg_prcp   │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                       │
│ 2013-11-18 │   0.04285714285714286 │
│ 2013-11-19 │   0.05285714285714286 │
│ 2013-11-20 │  0.045714285714285714 │
│ 2013-11-21 │   0.04142857142857143 │
│ 2013-11-22 │                  0.01 │
│ 2013-11-23 │   0.08285714285714287 │
│ 2013-11-24 │    0.3657142857142857 │
│ 2013-11-25 │    0.3657142857142857 │
│ 2013-11-26 │   0.35571428571428576 │
│ 2013-11-27 │   0.35571428571428576 │
│ 2013-11-28 │   0.35571428571428576 │
│ 2013-11-29 │   0.35571428571428576 │
│ 2013-11-30 │   0.28285714285714286 │
│ 2013-12-01 │                   0.0 │
│ 2013-12-02 │ 0.0014285714285714286 │
│ 2013-12-03 │   0.10571428571428572 │
│ 2013-12-04 │   0.12571428571428572 │
│ 2013-12-05 │   0.13714285714285715 │
│ 2013-12-06 │                  0.18 │
│ 2013-12-07 │   0.21285714285714286 │
│ 2013-12-08 │   0.21285714285714286 │
│ 2013-12-09 │   0.21142857142857144 │
│ 2013-12-10 │   0.10714285714285714 │
│ 2013-12-11 │   0.19142857142857142 │
│ 2013-12-12 │   0.28285714285714286 │
│ 2013-12-13 │                  0.24 │
│ 2013-12-14 │   0.23428571428571426 │
│ 2013-12-15 │   0.23428571428571426 │
│ 2013-12-16 │   0.23428571428571426 │
│ 2013-12-17 │   0.23428571428571426 │
│ 2013-12-18 │   0.13142857142857142 │
│ 2013-12-19 │  0.028571428571428574 │
│ 2013-12-20 │   0.10142857142857142 │
│ 2013-12-21 │   0.07428571428571429 │
│ 2013-12-22 │   0.07428571428571429 │
│ 2013-12-23 │   0.07428571428571429 │
│ 2013-12-24 │   0.07428571428571429 │
│ 2013-12-25 │   0.07285714285714286 │
│ 2013-12-26 │   0.24428571428571427 │
│ 2013-12-27 │   0.17142857142857143 │
│ 2013-12-28 │   0.17142857142857143 │
│ 2013-12-29 │   0.17142857142857143 │
│ 2013-12-30 │   0.21857142857142858 │
